index,source_en,predicted_hi,reference_hi,chrf_score,category,pred_len,ref_len,len_diff
449,"on friday, while addressing a press conference here, v.k. sood said that, after the municipal corporation elections the city got a new councillor and mayor, but they do not have the powers necessary to get the work done.","Fri दिवस में, एक प्रेस सम्मेलन को यहाँ, वी.k बात करते समय तो नूडल ने कहा, शहर चुनावों के बाद एक नया वोटर और मेयर मिल गया, लेकिन उनके पास काम करने के लिए शक्‍ति नहीं है.","यहां शुक्रवार को एक प्रेस कांफ्रेंस को संबोधित करते हुए वीके सूद ने कहा कि नगर निगम चुनावों के बाद शहर को नए पार्षद एवं मेयर तो मिल गई हैं, लेकिन इनके पास काम करवाने की शक्तिया ही नहीं है।",34.7,Medium,37,40,3
450,so the city councillors have become dummies and officers are doing as they pleased.,इस तरह शहर के परिषद्‌ और अफसर अपनी इच्छा के मुताबिक काम कर रहे हैं ।,इसके चलते शहर के पार्षद एक डम्मी बन गए है और अधिकारी अपने हिसाब से ही काम कर रहे है।,28.86,Medium,16,20,4
451,"sood said that the municipal corporation has crores of rupees at its disposal, but all the money is in the form of bank fds and interest is being earned on it.","सोडो ने कहा कि प्रशासनिक निगम में पैसा जमा करने के लिए पैसा होता है, लेकिन सभी पैसा बैंक के बैंक और ब्याज के रूप में कमाया जा रहा है ।","सूद ने कहा कि नगर निगम के पास करोड़ों रुपये पड़े है, लेकिन सारा पैसा बैंकों में एफडी के रूप में जमा करवाकर ब्याज वसूला जा रहा है।",42.18,Medium,31,28,3
452,so no steps are being taken to use that money for the development of the city.,इसलिए शहर के विकास के लिए पैसा इस्तेमाल करने के लिए कोई कदम नहीं उठाया जा रहा है ।,परतु पैसा शहर के विकास पर लगाने के लिए कोई कदम नहीं उठाया जा रहा।,67.19,Good,19,15,4
453,v.k. sood said the refuse dump issue is the most serious problem.,v.k. तो नूडल ने कहा कि इनकार करने का मुद्दा सबसे गंभीर समस्या है.,वीके सूद ने कहा कि डपिंग ग्राउंड की समस्या सबसे गंभीर है।,38.18,Medium,14,12,2
454,"by creating a dump in sector 23, people living in sectors beyond ghaggar are forced to live a hellish life.",बदलाव में 23 लोगों को इस तरह संगठित किया जाता है कि वे दूसरे देशों में जाकर बसने के लिए मजबूर हो जाते हैं ।,सेक्टर में डपिंग ग्राउंड बनाने के कारण घग्गर पार सेक्टरों में रहने वाले लोग पिछले कई वर्षाें से नारकीय जिंदगी जीने को मजबूर हैं।,18.04,Bad,25,24,1
455,"the municipal corporation officers have been talking about shifting the dump to the village of jhuriwala for the past several years now, but the inhabitants of the barwala area are already facing a serious problem with flies.",इस इलाके के निवासी पहले से ही मक्खियों के साथ गंभीर समस्या का सामना कर रहे हैं ।,"नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दोचार हो रहे है।",23.69,Medium,18,38,20
456,he said that healthcare and educational facilities are extremely bad.,उसने कहा कि स्वास्थ्य चिकित्सा और शैक्षिक सुविधाओं में बहुत बुरा है ।,उन्होंने कहा कि गावों में स्वास्थ्य सेवाओं एवं शिक्षा व्यवस्था की हालत बिल्कुल खराब हो चुकी है।,26.63,Medium,13,17,4
457,no work has yet been started to provide facilities for rural inhabitants.,अब तक यहाँ के गाँवों में रहने के लिए कोई भी काम शुरू नहीं किया गया है ।,ग्रामीण क्षेत्र में लोगों को सुविधाएं देने के लिए आज तक कोई काम शुरू ही नहीं हुआ।,26.28,Medium,18,17,1
458,un hails new goals to tackle poverty,गरीबी से निपटने के नए लक्ष्य नहीं,यू.एन. ने निर्धनता से निपटने के लिए नए लक्ष्य निर्धारित किए,33.74,Medium,7,11,4
459,"the united nations is to start work immediately on a new set of goals to replace the millennium development goals, which were put place 12 years ago to tackle global poverty.","संयुक्‍त राष्ट्र को मिलेनियम में होनेवाले लक्ष्यों की जगह लेने के लिए फौरन एक नया लक्ष्य बनाना है, जो दुनिया - भर में गरीबी का सामना करने के लिए 12 साल पहले रखा गया था ।","संयुक्त राष्ट्र तत्काल ही लक्ष्यों के नए समूह पर कार्य आरंभ करने वाला है, जो सहस्राब्दि विकास लक्ष्यों का स्थान लेंगे, जिन्हें वैश्विक निर्धनता से निपटने के लिए वर्ष पहले आरंभ किया गया था।",32.58,Medium,36,34,2
460,"australian diplomats played a key role in pushing for sustainable development goals to replace the mdgs, which expire in 2015, ahead of the un sustainable development summit that began in rio de janeiro overnight.","सन्‌ 2015 में जिन मुश्‍किलों का सामना किया गया, उनमें से सबसे पहले 2015 में 2015 में एक सम्मेलन हुआ ।","वर्ष में समाप्त हो रहे एम.डी.डी. को प्रतिस्थापित करने के लिए, संवहनीय विकास लक्ष्यों को आगे बढ़ाने में ऑस्ट्रेलियाई राजनयिक ने रिओ डे जैनेरो में रात भर में आरंभ हुए संवहनीय विकास शिखर सम्मेलन से ठीक पहले महत्वपूर्ण भूमिका निभाई।",11.71,Bad,21,40,19
461,"they were included in the final draft of the document, which will be endorsed by world leaders including ms gillard during the summit.","वे दस्तावेज़ के अंतिम मसौदा में शामिल थे, जिसे संसार के नेताओं द्वारा बढ़ावा दिया जाएगा, जिनमें शिखर सम्मेलन के दौरान एम.","इन्हें दस्तावेज के अंतिम प्रारूप में शामिल किया गया था, जिसका शिखर सम्मेलन के दौरान सुश्री गिलार्ड समेत विश्व नेताओं द्वारा समर्थन किया जाएगा।",45.78,Medium,22,24,2
462,un secretarygeneral ban kimoon told the summit overnight that now is the time to rise above national interests.,सचिव के लिए प्रतिबंध नहीं था कि आज राष्ट्रीय हितों से ऊपर उठने का समय है.,यू.एन. महासचिव बैन किमून ने रात्रि शिखर सम्मेलन में कहा कि राष्ट्रीय हितों से ऊपर उठने का समय आ गया है।,41.48,Medium,16,21,5
463,"i am pleased that member states have agreed to launch and take ownership of a process to establish universal sustainable development goals sdgs, he said.","मुझे खुशी है कि इस सदस्य ने दावा किया है कि उसने विश्‍वभर में स्थिर विकासों को स्थापित करने के लिए एक प्रक्रिया का मालिक बनने और उसे मालिक बनने के लिए सहमत किया है, उसने कहा ।",उन्होंने कहा कि मुझे बहुत प्रसन्नता है कि सदस्य देश सार्वभौमिक संवहनीय विकास लक्ष्य स्थापित करने हेतु प्रक्रिया आरंभ करने तथा उसका स्वामित्व लेने के लिए सहमत हो गए हैं।,34.34,Medium,38,30,8
464,"these sdgs will build on our advances under the millennium development goals, and they will be an integral part of the post2015 development framework.",इन्हें सन्‌ 2015 में विकास के लिए तैयार किया जाएगा ।,"ये एस.डी.जी. सहस्राब्दि विकास लक्ष्यों के अन्तर्गत हमारे विकास पर आधारित होंगे, तथा ये के पश्चात विकास रूपरेखा का समग्र अंग होंगे।",8.06,Bad,11,22,11
465,i will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the mdgs.,मैं सदस्य द्वारा दिए गए आदेश को लागू करने के लिए किसी भी प्रयास से नहीं बचूँगी ।,एम.डी.जी. की सफलता पर आधारित संवहनीय विकास लक्ष्यों के हमारे दूरगामी उद्देश्यों को पूर्ण करने के लिए हमारे सदस्य देशों द्वारा मुझे दिए गए अधिदेश का क्रियान्वयन करने के लिए मैं हरसंभव प्रयास करूंगा।,18.15,Bad,18,34,16
466,mozambique security concerns mount as powerful personalities clash,सुरक्षा की चिंता बहुत ही शक्‍तिशाली व्यक्‍ति आपस में टकराते हैं,मोजाम्बिक की सुरक्षा चिंता का विषय ताकतवर शख्सियतों टकराव के रूप में बढ़ते हैं,26.34,Medium,11,14,3
467,"with a statue of samora machel, mozambiques founding president, staring down on them, thousands of people gathered in central maputo to chant peace slogans in a rare public demonstration.",एक साधारण सार्वजनिक प्रदर्शन में शांति के वाक्यों का उच्चारण करने के लिए मध्य नक्शे पर हज़ारों लोग जमा हुए ।,"मोजाम्बिक संस्थापक राष्ट्रपति सैमोरा की एक मूर्ति के साथ, जो उन पर नीचे घूर रही थी, केंद्रीय मापुटो में एकत्र हुए हजार लोग एक दुर्लभ सार्वजनिक प्रदर्शन में शांति के नारे के लिए.",29.21,Medium,21,33,12
468,"we want peace back we want stability, said vanessa de sousa, chief executive of an investment company.","हम वापस चाहते हैं कि हम स्थिरता चाहते हैं, वेदर्स दे, एक निवेश कंपनी के प्रमुख अधिकारी ने कहा.","हम शांति वापस चाहते हैं, हम स्थिरता चाहते हैं, वैनेसा डी सुसा, एक निवेश कंपनी के मुख्य कार्यकारी अधिकारी ने कहा.",60.04,Good,19,21,2
469,"fearful about the future of her country, she swapped her corporate attire for a tshirt emblazoned with we demand security in portuguese as she joined the crowds in the capitals independence square on thursday.","अपने देश के भविष्य के बारे में डर के मारे, उसने अपनी नौकरी - पेशे को एक टी. वी.","अपने देश के भविष्य के बारे में भयभीत, उसने एकपुर्तगाली में हम सुरक्षा की मांग करतेहैं छपा टी शर्ट से उसकी कॉर्पोरेट पोशाक बदली और वो गुरुवार को राजधानी स्वतंत्रता स्क्वायर के भीड़ में शामिल हुई.",22.06,Medium,19,36,17
470,"for two weeks, there have been almost daily reports of clashes between government forces and renamo, some of the worst skirmishes since a peace deal more than 20 years ago.","दो हफ्ते से लेकर आज तक सरकार की शक्‍तियों और नाम - शोहरत के बीच के झगड़े की करीब - करीब रिपोर्टें मौजूद हैं, क्योंकि 20 से भी ज़्यादा साल पहले शांति का दौर शुरू हुआ था ।","दो हफ्तों के लिए सरकारी फौजों तथा रे नमो के बीच संघर्ष लगभग प्रतिदिन रिपोर्ट किया गया है,एक शांति समझौते के से अधिक साल पहले बाद से.",29.83,Medium,38,27,11
471,"renamo was once a notorious rebel movement, initially backed by whiteruled rhodesia and then south africas apartheid government as part of efforts to destabilise the countrys independent government.","एक बार नामीओ एक कुख्यात विद्रोह आंदोलन था, जो शुरू में श्‍वेत तानाशाहों द्वारा वापस आ गया और फिर दक्षिण - पूर्वी सरकार ने देश को स्वतंत्र सरकार को बचाने के प्रयास के रूप में एक हिस्सा लिया ।",रे नमो एक बार शुरू में देश के स्वतंत्र सरकार को अस्थिर करने के प्रयासों के हिस्से के रूप में उसके बाद सफेद शासित रोडेशिया तथा दक्षिण अफ्रीका के रंगभेद सरकार द्वारा समर्थित आंदोलन का एक कुख्यात विद्रोही था.,44.08,Medium,39,39,0
472,"after a 1992 peace deal, it became an opposition party.","सन्‌ 1992 में शांति संधि खत्म होने के बाद, यह एक विरोध पार्टी बन गयी ।"," के शांति समझौते के बाद, यह एक विपक्षी पार्टी बन गई.",51.11,Good,16,11,5
473,"analysts believe the country is unlikely to slide back into fullblown conflict, but recent events have unnerved foreign investors and locals.",लेकिन हाल में हुई घटनाओं ने विदेशियों और आस - पास के लोगों को अपना शिकार बना लिया है ।,"विश्लेषकोंका मानना है देश के पूर्ण विकसित संघर्ष में वापस लौटने की संभावना नहीं है, लेकिन हाल ही के घटनाओं ने विदेशी निवेशकों और स्थानीय लोगों कोंहतोत्साह किया है.",25.05,Medium,20,29,9
474,"the stakes are high for the fastgrowing economy as the discovery of huge offshore gas reserves and coal deposits in the northwest could bring in more than 50bn of investment over the next few next years from companies including rio tinto, vale of brazil, eni of italy and anadarko of the us.",उत्तर - पश्‍चिम में बड़े - बड़े गैसों और कोयले की खोज के लिए सूली काफी ऊँची है ।,"दांव तेजी से बढ़ रही अर्थव्यवस्था के लिए उच्च रहे हैं पश्चिमोत्तर के विशाल अपतटीय गैस के भंडार और कोयले के भंडार की खोज की रियो टिंटो, ब्राजील के वेल, सहित कंपनियों में से कुछ अगले साल से अधिक के निवेश में से ला सकता है.",13.56,Bad,19,46,27
475,"the ruling frelimo party, the dominant political force since 1975, and renamo blame each other for the tension.",सन्‌ 1975 से प्रबल राजनैतिक दल ने एक - दूसरे पर दोष लगाया और एक - दूसरे पर दोष लगाया ।,"सत्तारूढ़ पार्टी, के बाद से प्रमुख राजनीतिक शक्ति, तथा रे नमो तनाव के लिए एक दूसरे को दोषी ठहराते हैं.",16.92,Bad,21,20,1
476,"renamo says the government initiated the latest clashes by launching an attack on its members in sofala province, traditionally a renamo stronghold, on october 17.",नामो का कहना है कि सरकार ने हाल ही में स्वॉला प्रांत में अपने सदस्यों पर हमला शुरू किया ।,"रे नमो का कहना है कि सरकार ने अक्टूबर को सोफा ला प्रांत, परंपरागत एक रे नमो गढ़, में इसके सदस्यों पर हमले शुरू करके नवीनतम संघर्ष शुरू किया",41.2,Medium,20,29,9
477,"assaults on the former rebels then escalated as government forces attacked renamo bases and attempted to kill afonso dhlakama, the groups leader, fernando mazanga, renamos spokesman, told the financial times.",पहले विद्रोहियों पर फिर से हमला हुआ जब सरकार ने नामो की सेना पर हमला किया ।,"पूर्व विद्रोहियों पर हमले और फिर बढ़ने से सरकारी बलोंने रेनमो ठिकानों पर हमला किया और अफ़ोंसो ढाका मा, समूह के नेता, फर्नांडो माझांग, रे नमो के प्रवक्ता को मारने की कोशिश की फाइनेंशियल टाइम्स को बताया.",20.29,Medium,17,37,20
478,"the government blames renamo for triggering the clashes, accusing it of attacking soldiers.",इस पर हमला करनेवाले सैनिकों का इलज़ाम लगाया गया ।,सरकार सैनिकों पर हमला करने का आरोप लगाते हुए टकराव को ट्रिगर के लिए रे नमो को दोषी मानते हैं.,22.9,Medium,10,20,10
479,president armando guebuza has sought to play down concerns about instability.,राष्ट्रपति हाथ - पर - हाथ धरे बैठे रहना चाहते थे ।,राष्ट्रपति अर्मांडो जीबुझां ने अस्थिरता के बारे में चिंताओं को बेक़दर करने कीमांग की है.,16.55,Bad,12,15,3
480,"mr guebuza told afp, the french news agency, on wednesday that mr dhlakama saw himself as a loser who wanted to use whatever remains of his forces to try to prove that he can impose on the government his own decisions.","Mrrgagap ने एक fagy समाचार विभाग को बताया कि मिडनेड डेशमा के दिन, खुद को एक हारे हुए के रूप में देखा जो अपनी सेना के किसी भी अवशेष का उपयोग करना चाहता था साबित करने के लिए कि वह अपने ही निर्णय पर असर कर सकते हैं।","श्री जीबुझां ने बुधवार को एएफपी, फ्रांसीसी समाचार एजेंसी से कहा कि श्री ढाकामा ने खुद को एक हारे रूप में देखा था जो भी हो उसकी सेनाओं के साबित करने की कोशिश करने बनी हुई है कि वह सरकार पर अपने ही निर्णय को लागू कर सकते हैं .",36.87,Medium,48,50,2
481,both frelimo and renamo insist they want to avoid war.,वे युद्ध से दूर रहना चाहते हैं ।,फ्री लिमो तथा रे नमो दोनों ही जोर देते हैं कि वे युद्ध से बचना चाहते हैं .,30.21,Medium,8,18,10
482,but concerns have grown after mr mazanga was quoted as saying renamo was abandoning the 1992 peace accord.,"लेकिन एमा मेगॉ के कहने के बाद जो चिंताएँ हुईं, उन्हें सन्‌ 1992 में शांति के लिए छोड़ दिया गया था ।",श्री माझांग को यह कहते हुए उद्धृत किया गया था रे नमो ने शांति समझौते को रद्द कर दिया गया था लेकिन बाद में फिर चिंता का विषय हो गए हैं .,22.2,Medium,22,32,10
483,he told the ft that he meant the agreement was no longer being respected by frelimo.,"वह कहता है कि वह इस समझौते का मतलब नहीं था, मगर अब वह फ्रीवीमो का आदर नहीं कर रहा था ।",उन्होंने को बताया का मतलब है किवह समझौता फ्री लिमो के द्वारा सम्मानित किया नहीं जा रहा है,26.63,Medium,22,18,4
484,"our vision is to come back to negotiations, but with seriousness, mr mazanga said.","हमारा दर्शन बातचीत करने के लिए वापस आता है, लेकिन गंभीरता से, मैगमा ने कहा ।","हमारी दृष्टि समझौता वार्ता के लिए वापस आना है, लेकिन गंभीरता से, श्री माझांगने कहा.",47.63,Medium,16,15,1
485,previous talks between the parties have done little to ease tensions fuelled by a series of clashes this year.,इस साल एक - के - बाद - एक कई झगड़े हुए हैं ।,दोनों पक्षों के बीच पिछली वार्ता इस साल के संघर्ष की एक श्रृंखला की शह तनाव कम करने के लिए कुछ खास नहीं किया.,7.4,Bad,14,24,10
486,"its two big men guebuza and dhlakama butting heads together, said joseph hanlon, a lecturer at the open university and mozambique expert.","उसके दो बड़े बड़े आदमियों ने, जो एक साथ थे और सिर हिलाते थे, खुले विश्‍वविद्यालय में एक शिक्षक, जॆपपॉन और मोज़ाबी विशेषज्ञ ने कहा ।","यह साथ साथ लड़ रहे दो बड़े आदमी जीबुझांऔर ढाकामा उनके बारे में है, यूसुफ हान लंदन ओपन यूनिवर्सिटी में एक व्याख्याता तथा मोजाम्बिक विशेषज्ञ ने कहा.",27.64,Medium,26,27,1
487,neither of them are good negotiators and neither of them are prepared to make the kind of concessions that are necessary.,और ना ही उनमें से कुछ अच्छी बातें हैं और ना ही उनमें से कुछ ऐसे हैं जो ज़रूरत पड़ने पर उन्हें पूरा करने के लिए तैयार रहते हैं ।,उनमें से न तो अच्छे वार्ताकार हैं तथा उनमें से न तो आवश्यक है कि रियायतें के प्रकार बनाने के लिए तैयार रहे हैं.,34.87,Medium,30,24,6
488,"renamo, which has been pushing for electoral reforms, had already said that it would boycott municipal elections due in november.","नामो, जो चुनावों के लिए धक्का लगा है, पहले से ही कहा गया था कि यह बेवर्मबर में होने की वजह से लड़के - लड़की चुनाव करेंगे ।","रे नमो, चुनाव सुधारों के लिए जोर देता रहा है , ने पहले से ही नवंबर में होने वाले नगर निगम चुनावों के बहिष्कार के बारे में कहा था.",35.45,Medium,28,29,1
489,presidential and parliamentary polls are scheduled for next year.,इसके अगले साल राष्ट्रपति और संसद के सर्वे की जाँच की जाती है ।,राष्ट्रपति तथा संसदीय चुनाव अगले वर्ष के लिए निर्धारित हैं.,28.62,Medium,14,10,4
490,some commentators have interpreted its use of force as the attempt of an ailing movement to win concessions and financial spoils from the government.,कुछ टीकाकारों ने अपने बल का प्रयोग सरकार से समझौता और आर्थिक लूट जीतने की कोशिश के तौर पर किया है ।,कुछ टिप्पणीकारों ने सरकार से रियायतों तथा आर्थिक लूट को जीतने के लिए एक रुग्ण आंदोलन के प्रयास के रूप में बल के अपने प्रयोग के व्याख्या की है.,31.81,Medium,22,29,7
491,"renamos share of the vote has been declining since 1992, while a newer party, the democratic movement of mozambique mdm which was formed by a former renamo member, is expected to improve its showing at the elections.",सन्‌ 1992 से वोटों का नाम बदलकर एक नयी पार्टी शुरू हो गयी है ।,"मतदान में रे नमो की हिस्सेदारी के बाद से कमी आ रही है, जबकि एक नए पार्टी, एक पूर्व रे नमो सदस्य द्वारा बनाई गई थी जिसमें मोजाम्बिक एमडीएम के डेमोक्रेटिक मूवमेंट, चुनावों में अपने प्रदर्शन के सुधार की उम्मीद है .",7.71,Bad,15,42,27
492,mr mazanga says mr guebuza who is due to step down when his second term ends next year wants to destroy the countrys democracy.,"मैजिया कहती है कि जब उसके दूसरे शब्द अगले साल खत्म होते हैं, तो वे देश लोकतंत्र को नष्ट करना चाहते हैं ।",श्री माझांग श्री जीबुझांको कहते हैं जो अगले वर्ष अपने दूसरे कार्यकाल की समाप्ति पर पद छोड़रहे हैं देश के लोकतंत्र को नष्ट करना चाहता है.,34.96,Medium,23,26,3
493,"he does not want multiparty democracy, he does not want transparent elections he does not want peace because he does not want to leave the presidency, mr mazanga said.","वह बहुतांत्रिक लोकतंत्र नहीं चाहता, वह पारदर्शी चुनाव नहीं चाहता कि वह शांति नहीं चाहता है क्योंकि वह राष्ट्रपति पद, Mrza ने कहा.","वह बहुदलीय लोकतंत्र नहीं चाहता है, वह राष्ट्रपतित्व को छोड़नानहीं चाहता है क्योंकि वह शांति नहीं चाहता है पारदर्शी चुनाव नहीं चाहता है, श्री माझांग ने कहा..",62.8,Good,23,27,4
494,"it is unclear how much capacity renamo has, but it has carried out disruptive hitandrun attacks on police stations and vehicles on a key northsouth highway.","यह आश्‍चर्य की बात है कि यह कितनी क्षमता की है, लेकिन इसने पुलिस स्टेशनों और उत्तर - पश्‍चिम सड़क पर वाहनों पर आक्रमण किए हैं ।","किस प्रकार की क्षमता रे नमो की है स्पष्ट नहीं किया है, लेकिन यह एक प्रमुख उत्तर दक्षिण राजमार्ग पर पुलिस स्टेशनों और वाहनों पर व्यवधानकारी हिट एंड रन के दौरे उन्होंने किए हैं..",33.61,Medium,27,34,7
495,"most of the skirmishes have taken place in sofala province, which is several hundred kilometres north of maputo, but hosts beira, the port that miners, including rio tinto and vale, rely on to export coal.",इनमें से ज़्यादातर स्पोटो और घाटी में कोयले का निर्यात करने के लिए भरोसा रखते हैं ।,"झड़पों के अधिकांशसोफा ला प्रांत मेंहै, जोमापुटो के उत्तर में कई सौ किलोमीटर की दूरी पर है, जिसमें मेजबान बीरा पोर्ट है जो रियो टिंटो और घाटी सहित खनिक, कोयला निर्यात करने पर भरोसा करते हैं .",21.59,Medium,17,37,20
496,"in june, rio suspended its use of the railway for about a week after renamo threatened to attack the line.","जूने में, योओ ने लगभग एक सप्ताह के लिए रेलवे का इस्तेमाल बंद कर दिया था, और उस रेखा पर हमला करने के लिए धमकी दी थी ।",रे नमो लाइन पर हमला करने की धमकी के बाद जून महीने में रियो लगभग एक सप्ताह के लिए रेल्वे ने अपने प्रयोग को निलंबित कर दिया.,42.94,Medium,28,27,1
497,mr mazanga was coy when asked about whether renamo would repeat this threat.,इस खतरे को दोबारा देखने के लिए मैजिया को बुलाया जाता था ।,रे नमो इस खतरे को दोहरा पाएंगे या नहीं लगभग पूछे जाने पर श्री माझांगविनीत था.,20.71,Medium,13,16,3
498,"renamo wanted to warn the international community that things were not going well in mozambique, mr mazanga said.","ईओ ने अंतर्राष्ट्रीय समुदाय को चेतावनी देना चाहा कि जो बातें दुनिया भर में नहीं चल रही हैं, वे कुशाचा में नहीं जा रही थीं, ने कहा ।","रे नमो चीजें मोजाम्बिक में अच्छी तरह से नहीं जा रहे थे जो अंतरराष्ट्रीय समुदाय को आगाह करना चाहते थे, श्री माझांग ने कहा.",35.69,Medium,28,24,4
499,"the instability has added to frustrations with the government, says fernando lima, head of mediacoop, an independent media company, with many people also concerned about corruption, the slow pace of development and a recent spate of kidnappings.","इसके अलावा, बहुत - से लोग भ्रष्टाचार के बारे में भी चिंता करते हैं ।","अस्थिरता की सरकार ने कुंठाओं को और बढ़ा दिया, फर्नांडो लीमा, मीडिया कॉप,कहते हैं,जो एक स्वतंत्र मीडिया कंपनी के प्रधानहै , कई लोग भी भ्रष्टाचार, विकास की धीमी गति और अपहरणों की हाल की बाढ़ बारे में चिंतित है .",15.59,Bad,15,40,25
500,"people think the ones responsible for the future of the country are the government and the president, and he should be the one to find solutions for the problems, he says.","लोगों को लगता है कि देश के भविष्य के लिए जिम्मेदार लोग सरकार और राष्ट्रपति हैं, और वह समस्याओं के समाधान पाने के लिए एक होना चाहिए, वह कहता है.","लोगों को देश भविष्य के लिए जिम्मेदार लोगों को सरकार और राष्ट्रपति हैं, और लगता है कि वह समस्याओं के लिए समाधान को खोजने के लिए एक होना चाहिए, वे कहते हैं.",71.02,Good,30,32,2
501,"omar sultuane, a demonstrator, said people just wanted stability.",लोगों ने कहा कि लोगों को बस स्थिरता चाहिए ।,"ओमार सल्तनत, एक प्रदर्शक, लोगों को अभी भी स्थायित्व चाहिए.",21.64,Medium,10,10,0
502,"no one cares about renamo and frelimo, they just want peace again, they want free access to the roads, he said.","वे बस फिर से शांति चाहते हैं, वे सड़कों पर मुफ्त पहुँच चाहते हैं, उसने कहा ।","कोई भी रे नमो और फ्री लिमो के बारे में परवाह नहीं है, वे बस फिर शांति चाहते हैं, वे सड़कें के लिए स्वतंत्र पहुँच चाहते हैं, उन्होंने कहा.",40.85,Medium,17,29,12
503,"children should be taught myths and legends as models for a way of life, author says.","एक जीवन - शैली के लिए बच्चों को कथा - कहानियों और कहानियों को सिखाया जाना चाहिए, लेखक कहता है ।","बच्चों कों जीवन के लेखक का एक तरीके के लिए मॉडल के रूप में ,मिथकों और किंवदंतियोंकों सिखाया जाना चाहिए.",41.03,Medium,21,20,1
504,"tales of thor could show brute strength is no match for subtle trickery, while the arthurian legends reveal the importance of having a dream.",इस तरह की कहानियों से पता चलता है कि कुदरती आफतों का कोई मुकाबला नहीं होता ।,"थोर की कहानियाँ दिखा सकता थाक्रूर ताकत में सूक्ष्म सारी चालें की कोई मुकाबला नहीं है , जबकि अर्थुरियन किंवदंतियों में एक सपना होने का महत्व का पता चलता है.",27.64,Medium,17,30,13
505,"saying many of the myths would be far too wild, far too scandalous and in some cases far too filthy to be taught in schools, crossleyholland advocated a careful selection of ageappropriate works.","कई पौराणिक कथाओं के बारे में बात करना बहुत ही खतरनाक होगा, यहाँ तक कि कुछ मामलों में भी स्कूलों में सिखाया जाना, क्रूसीहोल और लंबे समय के काम करने का ध्यानपूर्वक चुनाव करने के लिए प्रोत्साहित किया जाएगा।","मिथकों में से कई सिखाने के लिए भी अपवादजनक दूर दूर तक भी वन्यऔर कुछ मामलों में भी अश्लील और विद्यालयों में यह सिखाया जाना उपयुक्त नहीं होगा, क्रॉस ली हॉलैंड ने उम्र के उपयुक्त कार्यों में से एक सावधान चयन की वकालत की.",29.85,Medium,39,44,5
506,"i find it wonderful that in america, myth and folklore already has a part in education, he said.","मुझे यह बहुत अच्छा लगता है कि एमरिका में, कथा - कहानियों में पहले से ही शिक्षा में भाग है, उसने कहा ।","मुझे यह आश्चर्यजनक लगता है, अमरीका में, मिथक तथा लोकगीत पहले ही शिक्षा के क्षेत्र में एक हिस्सा है, उन्होंने कहा.",32.65,Medium,23,21,2
507,i have been advocating it as a plan for twenty years.,मैं इसे बीस साल से योजना के रूप में बढ़ावा दिया गया है.,मैं बीस वर्षों के लिए एक योजना के रूप में यह हिमायत कर रहा हूँ.,31.51,Medium,13,15,2
508,"he added authors and teachers being overtly didactic is a total switchoff for children, with messages being subliminated in enjoyable stories.","उन्होंने लेखकों और शिक्षकों को भी शामिल किया जा रहा है जो बच्चों के लिए एक कुल स्विच होता है, साथ ही मज़ेदार कहानियों में दिए गए संदेशों को भी शामिल किया जा रहा है ।","उन्होंने लेखकों को तथा शिक्षकों को अधिकप्रबोधक कहा है और यह एक नया मोड़ है बच्चों के लिए, साथ में संदेशों को मनोरंजक कहानियों में प्रस्तुत किया जा रहा है .",48.49,Medium,36,31,5
